codigo;nombre;codigo_padre;email_aprobador;rol_aprobador;seleccionable_en_contabilizacion;activo;orden
1100000;COSTOS DIRECTOS E INDIRECTOS DE OBRA;ROOT;;GERENCIA_CONTABLE;false;true;1
1110000;COSTOS DIRECTOS DE OBRA ETAPA 1;1100000;;GERENCIA_CONSTRUCCION;false;true;1
1110100;COSTOS OBRA CIVIL Y ACABADOS ETAPA 1;1110000;;GERENCIA_CONSTRUCCION;false;true;1
1110101;SUB ESTRUCTURA - LOSA FLOTANTE;1110100;;GERENCIA_CONSTRUCCION;true;true;1
1110102;ESTRUCTURA PRIMARIA Y LOSA TECHO;1110100;;GERENCIA_CONSTRUCCION;true;true;2
1110103;ESTRUCTURA CUBIERTA PARQUEO;1110100;;GERENCIA_CONSTRUCCION;true;true;3
1110104;VENTANERÍA;1110100;;GERENCIA_CONSTRUCCION;true;true;4
1110105;CUBIERTA DE TECHO Y HOJALATERIA;1110100;;GERENCIA_CONSTRUCCION;true;true;5
1110106;PUERTAS;1110100;;GERENCIA_CONSTRUCCION;true;true;6
1110107;PISOS Y RODAPIE;1110100;;GERENCIA_CONSTRUCCION;true;true;7
1110108;PINTURA, ACABADOS DE PARED Y CIELO;1110100;;GERENCIA_CONSTRUCCION;true;true;8
1110109;LOZA SANITARIA, ACCESORIOS Y TANQUE AGUA CALIENTE;1110100;;GERENCIA_CONSTRUCCION;true;true;9
1110110;INSTALACIÓN ELÉCTRICA;1110100;;GERENCIA_CONSTRUCCION;true;true;10
1110111;INSTALACION MECANICA;1110100;;GERENCIA_CONSTRUCCION;true;true;11
1110112;MOBILIARIO FIJO;1110100;;GERENCIA_CONSTRUCCION;true;true;12
1110125;OTROS COSTOS DE OBRA CIVIL;1110100;;GERENCIA_CONSTRUCCION;true;true;13
1110128;ACABADOS COMPLEMENTARIOS ETAPA;1110100;;GERENCIA_CONSTRUCCION;true;true;14
1113200;FINANCIEROS ETAPA 1;1110000;;GERENCIA_CONSTRUCCION;false;true;2
1113201;INTERESES FINANCIEROS BANCOS ETAPA 1;1113200;;GERENCIA_CONSTRUCCION;true;true;1
1113202;GASTOS BANCARIOS Y RELACIONADOS ETAPA 1;1113200;;GERENCIA_CONSTRUCCION;true;true;2
1113225;OTROS COSTOS FINANCIEROS ETAPA 1;1113200;;GERENCIA_CONSTRUCCION;true;true;3
